,incident_key,occur_date,occur_time,boro,loc_of_occur_desc,loc_classfctn_desc,murder,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,newgeoreferencedcolumn,zipcodes,date_time
753,264600807,03/03/2023,00:23:00,MANHATTAN,OUTSIDE,HOUSING,N,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,BLACK,POINT (-73.977567 40.721581),11729.0,2023-03-03 00:23:00
754,264250139,02/26/2023,04:00:00,QUEENS,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,18-24,F,BLACK,POINT (-73.821423 40.584346),20532.0,2023-02-26 04:00:00
755,263290678,02/08/2023,14:02:00,BROOKLYN,OUTSIDE,STREET,N,<18,M,BLACK,<18,F,BLACK,POINT (-73.93479149 40.7039358),17213.0,2023-02-08 14:02:00
756,261579695,01/08/2023,01:15:00,MANHATTAN,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,BLACK HISPANIC,POINT (-73.96095199 40.81861203),12424.0,2023-01-08 01:15:00
757,263444903,02/11/2023,04:26:00,QUEENS,INSIDE,HOUSING,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.814705 40.735693),14509.0,2023-02-11 04:26:00
758,265584227,03/23/2023,22:10:00,BRONX,OUTSIDE,COMMERCIAL,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.859101 40.878047),11605.0,2023-03-23 22:10:00
759,265006011,03/11/2023,13:45:00,BROOKLYN,INSIDE,DWELLING,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.934961 40.649267),16866.0,2023-03-11 13:45:00
760,263503175,02/10/2023,14:29:00,BRONX,OUTSIDE,STREET,Y,25-44,M,WHITE HISPANIC,45-64,M,BLACK,POINT (-73.892569 40.846117),10935.0,2023-02-10 14:29:00
761,263290678,02/08/2023,14:02:00,BROOKLYN,OUTSIDE,STREET,N,<18,M,BLACK,<18,M,BLACK HISPANIC,POINT (-73.93479149 40.7039358),17213.0,2023-02-08 14:02:00
762,263189901,02/07/2023,09:00:00,BRONX,OUTSIDE,STREET,Y,18-24,F,BLACK,25-44,M,BLACK,POINT (-73.909895 40.829182),10934.0,2023-02-07 09:00:00
763,263018684,02/04/2023,04:08:00,QUEENS,INSIDE,DWELLING,N,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,BLACK,POINT (-73.757946 40.603519),20529.0,2023-02-04 04:08:00
764,263891839,02/19/2023,02:30:00,BROOKLYN,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.916873 40.698961),13828.0,2023-02-19 02:30:00
765,262334289,01/21/2023,04:00:00,QUEENS,OUTSIDE,STREET,Y,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,BLACK,POINT (-73.884524 40.739221),14784.0,2023-01-21 04:00:00
766,263078584,02/05/2023,09:40:00,QUEENS,OUTSIDE,STREET,N,25-44,M,BLACK,25-44,M,BLACK,POINT (-73.75471178 40.70453831),15312.0,2023-02-05 09:40:00
